ServiceApprovalNumber,"Provider Approval Number",ServiceName,ProviderLegalName,ServiceType,ServiceAddress,Suburb,State,Postcode,Phone,Fax,"Conditions on Approval",NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,RatingsIssued,PreviousQualityArea1Rating,PreviousQualityArea2Rating,PreviousQualityArea3Rating,PreviousQualityArea4Rating,PreviousQualityArea5Rating,PreviousQualityArea6Rating,PreviousQualityArea7Rating,PreviousOverallRating,PreviousRatingsIssued,"Last Service Approval Transfer Date","Last Visit Date","Long Day Care","Preschool/Kindergarten - Part of a School","Preschool/Kindergarten - Stand alone","Outside school Hours Care - After School","Outside school Hours Care - Before School","Outside school Hours Care - Vacation Care",Other,"Annual Monday Start Time","Annual Monday End Time","Annual Tuesday Start Time","Annual Tuesday End Time","Annual Wednesday Start Time","Annual Wednesday End Time","Annual Thursday Start Time","Annual Thursday End Time","Annual Friday Start Time","Annual Friday End Time","Annual Saturday Start Time","Annual Saturday End Time","Annual Sunday Start Time","Annual Sunday End Time","School Terms Only Session 1 Monday Start Time","School Terms Only Session 1 Monday End Time","School Terms Only Session 1 Tuesday Start Time","School Terms Only Session 1 Tuesday End Time","School Terms Only Session1 Wednesday Start Time","School Terms Only Session1 Wednesday End Time","School Terms Only Session1 Thursday Start Time","School Terms Only Session1 Thursday End Time","School Terms Only Session 1 Friday Start Time","School Terms Only Session 1 Friday End Time","School Terms Only Session 1 Saturday Start Time","School Terms Only Session 1 Saturday End Time","School Terms Only Session1 Sunday Start Time","School Terms Only Session 1 Sunday End Time","School Terms Only Session 2 Monday Start Time","School Terms Only Session 2 Monday End Time","School Terms Only Session 2 Tuesday Start Time","School Terms Only Session 2 Tuesday End Time","School Terms Only Session 2 Wednesday Start Time","School Terms Only Session 2 Wednesday End Time","School Terms Only Session 2 Thursday Start Time","School Terms Only Session2 Thursday End Time","School Terms Only Session 2 Friday Start Time","School Terms Only Session 2 Friday End Time","School Terms Only Session 2 Saturday Start Time","School Terms Only Session 2 Saturday End Time","School Terms Only Session 2 Sunday Start Time","School Terms Only Session 2 Sunday End Time","Holiday Care Monday Start Time","Holiday Care Monday End Time","Holiday Care Tuesday Start Time","Holiday Care Tuesday End Time","Holiday Care Wednesday Start Time","Holiday Care Wednesday End Time","Holiday Care Thursday Start Time","Holiday Care Thursday End Time","Holiday Care Friday Start Time","Holiday Care Friday End Time","Holiday Care Saturday Start Time","Holiday Care Saturday End Time","Holiday Care Sunday Start Time","Holiday Care Sunday End Time","Temporarily Closed"
SE-00009828,PR-40022141,"Galileo Early Learning",,"Centre-Based Care","25 Astrolabe St","RED HILL",ACT,2603,0433472727,,,39,01/01/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Working Towards NQS","Working Towards NQS","Working Towards NQS","Oct 2022","Working Towards NQS","Working Towards NQS","Meeting NQS","Working Towards NQS","Meeting NQS","Working Towards NQS","Working Towards NQS","Working Towards NQS","Jun 2017",23/04/2021,"September 2026",Yes,No,No,No,No,No,No,07:00,17:30,07:00,17:30,07:00,17:30,07:00,17:30,07:00,17:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00009829,PR-00005876,"YWCA Canberra Reid Early Childhood Centre","YWCA Canberra","Centre-Based Care","Childcare Centre, 27 Amaroo St",REID,ACT,2612,0262305660,0262305440,,67,01/01/2012,"Exceeding NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Dec 2025","Working Towards NQS","Working Towards NQS","Meeting NQS","Working Towards NQS","Meeting NQS","Working Towards NQS","Working Towards NQS","Working Towards NQS","Mar 2022",06/02/2023,"May 2026",Yes,No,No,No,No,No,No,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00009831,PR-00007250,"One Tree Defence Childcare Unit Russell Hill","One Tree Community Services Inc","Centre-Based Care","R8 Annex, 11 Kelliher Drive","RUSSELL HILL",ACT,2600,0477200447,,,85,01/01/2012,"Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Sep 2023","Meeting NQS","Exceeding NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Mar 2017",02/01/2019,"December 2023",Yes,No,No,No,No,No,No,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00009832,PR-00003428,"Uniting Salem Early Learning Kambah","The Uniting Church In Australia Property Trust (NSW)","Centre-Based Care","Salem Childrens Centre, 2 Kett St",KAMBAH,ACT,2902,0261834200,0262314446,,55,01/01/2012,"Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Dec 2019","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Meeting NQS","Apr 2015",22/08/2016,"February 2026",Yes,No,No,No,No,No,No,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00009835,PR-40031535,"Urban Education Gold Creek Pty Ltd","Urban Education Gold Creek Pty  Ltd","Centre-Based Care","50 Curran Dr",NICHOLLS,ACT,2913,0262555101,0262413232,,62,01/01/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Dec 2023","Working Towards NQS","Working Towards NQS","Working Towards NQS","Working Towards NQS","Working Towards NQS","Working Towards NQS","Working Towards NQS","Working Towards NQS","Jul 2019",16/01/2023,"July 2025",Yes,No,No,No,No,No,No,06:30,18:00,06:30,18:00,06:30,18:00,06:30,18:00,06:30,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00009836,PR-00005876,"Spence Children's Cottage","YWCA Canberra","Centre-Based Care","Childcare Centre, 19 Dalgleish Cl",SPENCE,ACT,2615,0262582077,,,25,01/01/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Mar 2021","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Apr 2016",04/11/2019,"October 2024",Yes,No,No,No,No,No,No,07:45,17:45,07:45,17:45,07:45,17:45,07:45,17:45,07:45,17:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00009837,PR-00010085,"St Joseph’s Early Learning Centre O’Connor","CATHOLIC ARCHDIOCESE OF CANBERRA  AND GOULBURN EDUCATION LIMITED","Centre-Based Care","St Joseph's Primary School, 62 Boronia Dr",O'CONNOR,ACT,2602,0262572990,,,44,01/01/2012,"Exceeding NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Exceeding NQS","Jul 2018","Working Towards NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Working Towards NQS","May 2015",01/01/2025,"June 2024",Yes,Yes,No,Yes,Yes,Yes,No,08:00,17:30,08:00,17:30,08:00,17:30,08:00,17:30,08:00,17:30,,,,,08:00,17:30,08:00,17:30,08:00,17:30,08:00,17:30,08:00,17:30,,,,,,,,,,,,,,,,,,,08:00,17:30,08:00,17:30,08:00,17:30,08:00,17:30,08:00,17:30,,,,,No
SE-00009839,PR-00005876,"SPK Early Learning by YWCA Canberra","YWCA Canberra","Centre-Based Care","Corner of Moorhouse street and McPherson St, 24 McPherson Street",O'CONNOR,ACT,2602,0262489868,,"1. The Provider is required to ensure fixed outdoor playground is remedied to comply with safety requirements outlined under Australian Standard AS 4685 (2014) -series for Playground equipment, within 6 months of transfer of Service Approval. 2. The Provider is required to arrange for the removal of gate located in the Wombats room, to ensure children have access to bathrooms as required, within 6 months of transfer of Service Approval.",53,01/01/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Nov 2025","Working Towards NQS","Working Towards NQS","Meeting NQS","Working Towards NQS","Meeting NQS","Meeting NQS","Meeting NQS","Working Towards NQS","Apr 2020",13/04/2026,"October 2025",Yes,No,No,No,No,No,No,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00009840,PR-00010085,"St Thomas Aquinas Early Learning Centre  West Belconnen","CATHOLIC ARCHDIOCESE OF CANBERRA  AND GOULBURN EDUCATION LIMITED","Centre-Based Care","St Thomas Aquinas School, 25 Lhotsky St",CHARNWOOD,ACT,2615,0427439931,,,44,01/01/2012,"Exceeding NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Sep 2025","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Jun 2018",01/01/2025,"July 2025",Yes,Yes,No,No,No,No,No,08:00,17:30,08:00,17:30,08:00,17:30,08:00,17:30,08:00,17:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00009841,PR-00010064,"Shared Beginnings Bonython","Shared Beginnings AP PTY LTD","Centre-Based Care","Childcare Centre, 15 Barr-Smith Ave",BONYTHON,ACT,2905,0262932681,,,68,14/05/2012,"Working Towards NQS","Working Towards NQS","Working Towards NQS","Meeting NQS","Working Towards NQS","Meeting NQS","Working Towards NQS","Working Towards NQS","Apr 2025","Working Towards NQS","Working Towards NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Working Towards NQS","Aug 2019",05/01/2026,"July 2026",Yes,No,No,No,No,No,No,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00009842,PR-40011902,"Bright Buds Early Learning Centre","BRIGHT BEES EARLY LEARNING (NICHOLLS) PTY LIMITED","Centre-Based Care","22 Wormald St",SYMONSTON,ACT,2609,0261112900,,,90,01/01/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Jan 2021","Meeting NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Meeting NQS","Jun 2016",10/03/2025,"April 2026",Yes,No,No,No,No,No,No,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00009847,PR-40001112,"Papilio Early Learning Barton","Affinity Education Group Pty Limited","Centre-Based Care","Lionel Murphy Building, 50 Blackall St",BARTON,ACT,2600,0262735080,,,65,01/01/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Nov 2019","Working Towards NQS","Meeting NQS","Meeting NQS","Meeting NQS","Working Towards NQS","Meeting NQS","Meeting NQS","Working Towards NQS","Apr 2019",29/08/2014,"February 2026",Yes,No,No,No,No,No,No,07:00,18:30,07:00,18:30,07:00,18:30,07:00,18:30,07:00,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00009848,PR-40001112,"Papilio Early Learning Bruce","Affinity Education Group Pty Limited","Centre-Based Care","100 Eastern Valley Way",BELCONNEN,ACT,2617,"02 62519399",,,89,01/01/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Feb 2024","Working Towards NQS","Meeting NQS","Working Towards NQS","Meeting NQS","Meeting NQS","Working Towards NQS","Working Towards NQS","Working Towards NQS","Mar 2020",29/08/2014,"January 2026",Yes,No,No,No,No,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00009849,PR-40004076,"Busy Bees at The Park","FEL Child Care Centres 4 Pty Ltd","Centre-Based Care","37 Brindabella Circuit",MAJURA,ACT,2609,0261619331,,,174,01/01/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Mar 2024","Working Towards NQS","Meeting NQS","Meeting NQS","Meeting NQS","Working Towards NQS","Meeting NQS","Meeting NQS","Working Towards NQS","Apr 2019",12/10/2018,"March 2026",Yes,No,No,No,No,No,No,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00009851,PR-00005877,"Totom House Multicultural Early Childhood Centre","Totom House Incorporated","Centre-Based Care","Totom House, 2 Georgina Cres",KALEEN,ACT,2617,62415672,62557592,,52,01/01/2012,"Exceeding NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Feb 2020","Meeting NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Jul 2016",,"June 2026",Yes,No,No,No,No,No,No,07:45,18:00,07:45,18:00,07:45,18:00,07:45,18:00,07:45,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00009852,PR-00005856,"Treehouse in the Park Early Learning Centre (NCS)","Northside Community Service Limited","Centre-Based Care","Treehouse Preschool & Childcare, 57 Ormond St",TURNER,ACT,2612,0261718060,,,53,01/01/2012,"Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Jan 2024","Exceeding NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Meeting NQS","Exceeding NQS","Oct 2016",,"February 2025",Yes,No,No,No,No,No,No,08:00,18:00,08:00,18:00,08:00,18:00,08:00,18:00,08:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00009855,PR-00005881,"Wattle Early Childhood Centre","Wattle Community Association Incorporated","Centre-Based Care","Childcare Centre, 38 Wattle St",LYNEHAM,ACT,2602,0262487647,,,33,01/01/2012,"Exceeding NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Exceeding NQS","Mar 2023","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Oct 2016",,"May 2026",Yes,No,No,No,No,No,No,08:00,17:45,08:00,17:45,08:00,17:45,08:00,17:45,08:00,17:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00009856,PR-40011926,"Weston Creek Children's Centre","Projects on Parkinson Ltd","Centre-Based Care","Childcare Centre, 8 Parkinson St",WESTON,ACT,2611,0262885380,,"The education and care centre must provide access to the outdoor court yard area when more than 110 children are in attendance at the service.",115,22/03/2012,"Exceeding NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Meeting NQS","Exceeding NQS","Jul 2026","Meeting NQS","Working Towards NQS","Working Towards NQS","Meeting NQS","Meeting NQS","Meeting NQS","Working Towards NQS","Working Towards NQS","Mar 2023",01/07/2017,"June 2026",Yes,No,No,No,No,No,No,07:45,18:00,07:45,18:00,07:45,18:00,07:45,18:00,07:45,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00009857,PR-00005879,"Wiradjuri Preschool Child Care Centre","University of Canberra","Centre-Based Care","Wiradjuri Preschool Child Care Centre, University of Canberra, Faculty of Education, School of Teacher Education, Building 5, Floor B, Cooinda Street",BELCONNEN,ACT,2616,0262012087,0262015360,,38,01/01/2012,"Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Nov 2018","Exceeding NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Oct 2013",,"February 2025",Yes,No,No,No,No,No,No,08:00,17:30,08:00,17:30,08:00,17:30,08:00,17:30,08:00,17:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00009858,PR-00005884,"Woden Early Childhood Centre","Woden Early Childhood Centre Inc","Centre-Based Care","98 Easty St",PHILLIP,ACT,2606,0262813121,0262817077,,63,01/01/2012,"Exceeding NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Oct 2018","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Aug 2013",,"February 2025",Yes,No,No,No,No,No,No,08:00,18:00,08:00,18:00,08:00,18:00,08:00,18:00,08:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00009859,PR-00005885,"Woden Valley Early Learning Centre","Woden Valley Child Care Centre Association Inc.","Centre-Based Care","Childcare Centre, 1 Dann Cl",GARRAN,ACT,2605,0262826648,0262826648,,98,01/01/2012,"Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Aug 2025","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Meeting NQS","May 2018",,"July 2025",Yes,No,No,No,No,No,No,06:30,18:00,06:30,18:00,06:30,18:00,06:30,18:00,06:30,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00009860,PR-00005888,"YMCA Early Learning Centre Belconnen","Young Men's Christian Association of Canberra Ltd","Centre-Based Care","YMCA Belconnen Early Learning Centre, 1 Joy Cummings Pl",BELCONNEN,ACT,2617,0262512348,0262512381,,90,01/01/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Nov 2025","Exceeding NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Dec 2017",,"November 2025",Yes,No,No,No,No,No,No,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00009861,PR-00005888,"YMCA Early Learning Centre Jamison","Young Men's Christian Association of Canberra Ltd","Centre-Based Care","Macquarie Park, 52 Bowman St",MACQUARIE,ACT,2614,0262515735,0262511015,,63,01/01/2012,"Meeting NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Dec 2025","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Apr 2018",,"June 2026",Yes,No,No,No,No,No,No,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00009863,PR-40001591,"1912 Child Care and Education Centre","JOMARK ENTERPRISES PTY LTD","Centre-Based Care","52 Steele St",DEVONPORT,TAS,7310,"03 6423 3885","03 6423 3887","The approved provider must ensure that the temporary waiver of regulation 133(1)(b) is only applied on the second ECT’s non-working day.",120,01/01/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Dec 2025","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Jan 2020",21/02/2014,"August 2026",Yes,No,No,Yes,Yes,Yes,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,06:30,09:00,06:30,09:00,06:30,09:00,06:30,09:00,06:30,09:00,,,,,15:00,18:30,15:00,18:30,15:00,18:30,15:00,18:30,15:00,18:30,,,,,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,No
SE-00009865,PR-40003149,"Abacus Child Care Centre","ABACUS CHILD CARE PTY LTD","Centre-Based Care","Abacus Child Care Centre, 41 Bain Tce",TREVALLYN,TAS,7250,0363310982,0363348078,,30,01/01/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Feb 2024","Meeting NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Aug 2018",20/04/2016,"August 2026",Yes,No,No,No,No,No,No,07.45,17.45,07.45,17.45,07.45,17.45,07.45,17.45,07.45,17.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00009866,PR-40003149,"Abacus Child Care Outside School Hours Care - Trevallyn","ABACUS CHILD CARE PTY LTD","Centre-Based Care","Trevallyn Primary School, 55 Gorge Rd",TREVALLYN,TAS,7250,"03 6331 0982","03 6334 8078",,45,01/01/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Sep 2024","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Meeting NQS","Jun 2019",01/04/2015,"October 2025",No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,15:00,17:30,15:00,17:30,15:00,17:30,15:00,17:30,15:00,17:30,,,,,,,,,,,,,,,,,,,07:45,17:30,07:45,17:30,07:45,17:30,07:45,17:30,07:45,17:30,,,,,No
SE-00009869,PR-00005946,"Newstead OSHC Service","Thrive Group Tasmania Inc","Centre-Based Care","59d Amy Rd",NEWSTEAD,TAS,7250,0363411555,0363449493,,75,01/01/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Mar 2026","Working Towards NQS","Meeting NQS","Working Towards NQS","Meeting NQS","Working Towards NQS","Meeting NQS","Meeting NQS","Working Towards NQS","Dec 2021",,"June 2026",No,No,No,Yes,No,Yes,No,,,,,,,,,,,,,,,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,,,,,,,,,,,,,,,,,,,08:00,18:00,08:00,18:00,08:00,18:00,08:00,18:00,08:00,18:00,,,,,No
SE-00009870,PR-00005931,"Bagdad Education and Care","Kidbiz Pty Ltd ATF Bennett Family Trust","Centre-Based Care","Bagdad  Childcare Centre, 1661 Midland Hwy",BAGDAD,TAS,7030,"03 6268 6664",,,36,01/01/2012,"Meeting NQS","Exceeding NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Apr 2024","Meeting NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Nov 2019",,"October 2025",Yes,No,No,No,No,No,No,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00009871,PR-00005946,"Beaconsfield Early Learning Service","Thrive Group Tasmania Inc","Centre-Based Care","Beaconsfield Child and Family Centre, 33 Grubb St",BEACONSFIELD,TAS,7270,0363831731,0363831731,,48,01/01/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Jan 2026","Working Towards NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Working Towards NQS","Working Towards NQS","Jul 2023",,"March 2026",Yes,No,No,Yes,Yes,Yes,No,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,,,,,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,,,,,07:30,08:45,07:30,08:45,07:30,08:45,07:30,08:45,07:30,08:45,,,,,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,,,,,No
SE-00009872,PR-00005951,"Bellerive After School & Vacation Care","Phoenix Children's Services Inc","Centre-Based Care","Bellerive Primary School, 7 Leslie St",BELLERIVE,TAS,7018,0362471222,"03 6247 1200",,55,01/01/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","May 2025","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Jul 2019",,"May 2026",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,14:45,18:00,14:45,18:00,14:45,18:00,14:45,18:00,14:45,18:00,,,,,07:20,09:00,07:20,09:00,07:20,09:00,07:20,09:00,07:20,09:00,,,,,08:00,18:00,08:00,18:00,08:00,18:00,08:00,18:00,08:00,18:00,,,,,No
SE-00009873,PR-00005896,"Blackmans Bay Outside School Hours Care","Adventure Patch","Centre-Based Care","Blackmans Bay Primary School, 177 Roslyn Ave","BLACKMANS BAY",TAS,7052,"03 6229 4199","03 6229 2260",,100,01/01/2012,"Working Towards NQS","Working Towards NQS","Meeting NQS","Working Towards NQS","Working Towards NQS","Meeting NQS","Working Towards NQS","Working Towards NQS","May 2023","Exceeding NQS","Exceeding NQS","Exceeding NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Jul 2017",,"July 2025",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,14:45,18:15,14:45,18:15,14:45,18:15,14:45,18:15,14:45,18:15,,,,,07:15,08:45,07:15,08:45,07:15,08:45,07:15,08:45,07:15,08:45,,,,,07:15,18:15,07:15,18:15,07:15,18:15,07:15,18:15,07:15,18:15,,,,,No
